cpu0=350000:	350000	350000	350000	500000	500000
cpu0=400000:	400000	400000	400000	500000	500000
cpu0=500000:	500000	500000	500000	500000	500000
cpu0=600000:	600000	600000	600000	500000	500000
cpu0=700000:	700000	700000	700000	500000	500000
cpu0=800000:	800000	800000	800000	500000	500000
cpu0=900000:	900000	900000	900000	500000	500000
cpu0=1000000:	1000000	1000000	1000000	500000	500000
cpu1=350000:	350000	350000	350000	500000	500000
cpu1=400000:	400000	400000	400000	500000	500000
cpu1=500000:	500000	500000	500000	500000	500000
cpu1=600000:	600000	600000	600000	500000	500000
cpu1=700000:	700000	700000	700000	500000	500000
cpu1=800000:	800000	800000	800000	500000	500000
cpu1=900000:	900000	900000	900000	500000	500000
cpu1=1000000:	1000000	1000000	1000000	500000	500000
cpu2=350000:	350000	350000	350000	500000	500000
cpu2=400000:	400000	400000	400000	500000	500000
cpu2=500000:	500000	500000	500000	500000	500000
cpu2=600000:	600000	600000	600000	500000	500000
cpu2=700000:	700000	700000	700000	500000	500000
cpu2=800000:	800000	800000	800000	500000	500000
cpu2=900000:	900000	900000	900000	500000	500000
cpu2=1000000:	1000000	1000000	1000000	500000	500000
cpu3=500000:	350000	350000	350000	500000	500000
cpu3=600000:	350000	350000	350000	600000	600000
cpu3=700000:	350000	350000	350000	700000	700000
cpu3=800000:	350000	350000	350000	800000	800000
cpu3=900000:	350000	350000	350000	900000	900000
cpu3=1000000:	350000	350000	350000	1000000	1000000
cpu3=1100000:	350000	350000	350000	1100000	1100000
cpu3=1200000:	350000	350000	350000	1200000	1200000
cpu4=500000:	350000	350000	350000	500000	500000
cpu4=600000:	350000	350000	350000	600000	600000
cpu4=700000:	350000	350000	350000	700000	700000
cpu4=800000:	350000	350000	350000	800000	800000
cpu4=900000:	350000	350000	350000	900000	900000
cpu4=1000000:	350000	350000	350000	1000000	1000000
cpu4=1100000:	350000	350000	350000	1100000	1100000
cpu4=1200000:	350000	350000	350000	1200000	1200000
